ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"187.85.6.5","elite","AS262659","BR","Ultrawave Telecom","286","Ultrawave Telecom","5678","socks4","1989","1","2023-09-12T11:24:40.538Z","98","3727","3796"
"46.126.70.47","elite","AS6830","CH","UPC Schweiz GmbH","29","UPC Schweiz GmbH","9050","socks5","1002","1","2023-09-12T11:24:40.933Z","100","3818","3832"
"110.34.166.184","elite","AS45652","SG","Krypt Technologies","235","Vpls Sin1","4153","socks4","1490","1","2023-09-12T11:24:40.834Z","99","3807","3863"
"81.199.14.17","elite","AS36892","UG","IPTEC Limited","285","Gilat Satcom Ltd.","1088","socks4","3204","1","2023-09-12T11:24:39.834Z","93","3546","3803"
"182.160.3.125","elite","AS136907","HK","Huawei International Pte. LTD","285","N/A","1080","socks5","1585","1","2023-09-12T11:24:39.137Z","66","2559","3888"
"113.160.164.181","elite","AS45899","VN","VietNam Post and Telecom Corporation","286","Vietnam Posts and Telecommunications Group","1080","socks4","1388","11","2023-09-12T11:24:39.136Z","98","3723","3781"
"38.127.179.194","elite","AS174","US","Cogent Communications","86","Torlandia Trading SRL","11537","socks4","992","1","2023-09-12T11:24:39.144Z","100","3845","3851"
"157.185.168.87","elite","AS54994","CA","Meteverse Limited.","83","Meteverse Limited","26589","socks5","3414","2","2023-09-12T11:24:38.051Z","100","3763","3768"
"168.205.218.122","elite","AS264869","BR","SPEED MAX TELECOMUNICAÇÕES LTDA ME","299","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","2011","1","2023-09-12T11:24:38.850Z","83","3106","3732"
"45.7.177.217","elite","AS266626","BR","Litoral Telecom","185","Litoral Telecom","39867","socks4","3595","1","2023-09-12T11:24:38.749Z","99","3790","3833"
"149.154.69.203","elite","AS29182","RU","JSC IOT","46","JSC IOT","3080","socks5","1398","93","2023-09-12T11:24:38.943Z","99","3848","3883"
"178.253.200.209","elite","AS9125","RS","Orion Telekom ISP IP Network","78","N/A","1080","socks4","3404","1","2023-09-12T11:24:38.439Z","100","3870","3875"
"119.40.87.97","elite","AS24122","BD","BDCOM Online Limited","190","BDCOM Online Limited","5678","socks4","3297","1","2023-09-12T11:24:38.140Z","31","1155","3767"
"103.59.200.26","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","134","NET 4 U Services PVT LTD","4145","socks4","3786","1","2023-09-12T11:24:38.034Z","99","3692","3721"
"8.214.194.44","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","391","Alibaba.com Singapore E-Commerce Private Limited","443","socks4","3307","1","2023-09-12T11:24:38.138Z","99","3766","3798"
"110.78.138.125","elite","AS131090","TH","CAT-BB","191","N/A","8080","socks4","3599","1","2023-09-12T11:24:38.036Z","83","3150","3788"
"103.59.203.201","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","126","NET 4 U Services PVT LTD","4145","socks4","2194","1","2023-09-12T11:24:38.845Z","99","3811","3849"
"43.153.29.34","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","185","Tencent Cloud Computing","443","socks5","2105","1","2023-09-12T11:24:38.846Z","73","2759","3773"
"104.129.199.34","elite","AS22616","US","ZSCALER, INC.","185","Zscaler, Inc.","8800","socks4","3591","2","2023-09-12T11:24:37.654Z","97","3668","3775"
"36.37.71.83","elite","AS4800","ID","LINTASARTA","218","N/A","5430","socks4","4107","1","2023-09-12T11:24:37.540Z","97","3781","3902"
"23.94.47.24","elite","AS36352","US","ColoCrossing","100","RackNerd LLC","32129","socks4","3505","1","2023-09-12T11:24:37.737Z","93","3425","3676"
"51.83.140.70","elite","AS16276","PL","OVH SAS","31","OVH Sp. z o. o","8181","socks5","3693","1","2023-09-12T11:24:37.653Z","100","3898","3901"
"205.185.117.77","elite","AS53667","US","FranTech Solutions","139","FranTech Solutions","16831","socks4","3810","1","2023-09-12T11:24:36.743Z","100","3815","3826"
"43.134.164.228","elite","AS132203","SG","Aceville Pte.ltd","390","N/A","443","socks5","3713","1","2023-09-12T11:24:36.744Z","84","3245","3875"
"159.89.206.252","elite","AS14061","SG","DigitalOcean, LLC","195","DigitalOcean, LLC","44590","socks4","3905","1","2023-09-12T11:24:36.742Z","100","3760","3775"
"79.141.173.165","elite","AS202015","US","N/A","189","Hostzealot LTD","3128","socks4","4208","1","2023-09-12T11:24:35.741Z","62","2351","3781"
"103.248.123.197","elite","AS58906","IN","Shivansh Infotech pvt Ltd","149","Shivansh Infotech pvt Ltd","53281","socks4","4099","1","2023-09-12T11:24:35.845Z","100","3858","3865"
"45.196.151.59","elite","AS7018","US","AT&T Services, Inc.","96","AQUA Networks Limited","5432","socks4","4295","1","2023-09-12T11:24:35.739Z","98","3674","3760"
"66.207.184.57","elite","AS7029","US","Windstream Communications LLC","86","Voce Telecom, LLC","5432","socks4","4398","1","2023-09-12T11:24:35.736Z","98","3658","3741"
"5.39.19.154","elite","AS16276","FR","OVH ISP","5","Caunes Sebastien","33427","socks4","4304","1","2023-09-12T11:24:34.847Z","100","3849","3850"
"45.7.210.200","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","287","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","4998","1","2023-09-12T11:24:34.735Z","99","3870","3897"
"43.153.58.204","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","149","Tencent Cloud Computing","443","socks4","4988","1","2023-09-12T11:24:34.736Z","81","3073","3813"
"88.135.40.26","elite","AS57391","IR","Laser Company Ltd","105","Laser Company Ltd","4153","socks4","4994","1","2023-09-12T11:24:33.551Z","64","2393","3768"
"45.112.125.52","elite","AS58369","ID","FIBERNET","200","N/A","4145","socks4","4903","1","2023-09-12T11:24:33.634Z","99","3798","3834"
"1.20.220.79","elite","AS23969","TH","TOT Public Company Limited","153","TOT Mobile Co LTD","4145","socks4","4807","1","2023-09-12T11:24:33.743Z","90","3484","3880"
"212.50.78.202","elite","AS34754","BG","Telnet Limited Liaskovec","54","N/A","5678","socks4","5185","1","2023-09-12T11:24:33.738Z","100","3783","3787"
"188.68.236.126","elite","AS197226","PL","Sprint S.A","84","Sprint S.A.","3128","socks4","5005","2","2023-09-12T11:24:33.549Z","84","3165","3771"
"51.15.12.224","elite","AS12876","NL","Online SAS NL","10","SCALEWAY","5214","socks4","5090","82","2023-09-12T11:24:33.740Z","100","3838","3848"
"197.234.13.69","elite","AS36902","SC","Intelvision","185","Intelvision Ltd","4145","socks4","5007","1","2023-09-12T11:24:32.435Z","100","3757","3768"
"200.33.152.253","elite","AS268976","BR","Weclix Telecom S/A","282","Weclix Telecom S/A","4153","socks4","4987","1","2023-09-12T11:24:32.438Z","95","3667","3848"
"137.220.53.12","elite","AS20473","CA","The Constant Company","94","Vultr Holdings, LLC","10544","socks4","5095","90","2023-09-12T11:24:31.044Z","78","2957","3779"
"157.230.8.196","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","7497","socks5","4893","1","2023-09-12T11:24:31.236Z","97","3714","3836"
"154.19.185.66","elite","AS149042","US","SICLOUD INFORMATION TECHNOLOGY (HONGKONG) CO., LIMITED","145","SICLOUD INFORMATION TECHNOLOGY (HONGKONG) CO., LIMITED","18825","socks5","4990","1","2023-09-12T11:24:31.150Z","96","3621","3785"
"154.66.108.19","elite","AS37642","LS","Comnet Pty Ltd","184","ISPClients","10081","socks4","5284","1","2023-09-12T11:24:29.853Z","98","3810","3899"
"202.58.199.204","elite","AS45701","ID","Internet Madju Abad Millenindo, PT","213","Millenindo","5678","socks5","4899","198","2023-09-12T11:24:29.849Z","97","3722","3823"
"36.93.137.146","elite","AS7713","ID","Telekomunikasi Indonesia","208","HSI Indihome","5678","socks4","4899","90","2023-09-12T11:24:29.847Z","99","3710","3764"
"43.130.199.69","elite","AS132203","CA","Shenzhen Tencent Computer Systems Company Limited","93","Tencent Cloud Computing","443","socks5","5001","1","2023-09-12T11:24:29.646Z","84","3202","3828"
"139.177.177.45","elite","AS63949","DE","Akamai Technologies, Inc.","11","Linode","30927","socks5","4707","86","2023-09-12T11:24:29.643Z","88","3336","3795"
"151.84.98.89","elite","AS1267","IT","INFOSTRADA","78","WIND Telecomunicazioni S.p.A","4153","socks4","5095","198","2023-09-12T11:24:29.850Z","99","3775","3799"
"98.111.251.101","elite","AS701","US","Verizon Business","89","Verizon Business","1585","socks4","5091","1","2023-09-12T11:24:29.645Z","100","3732","3749"
"102.66.225.184","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","257","Herotel","5678","socks4","5108","1","2023-09-12T11:24:28.835Z","69","2616","3818"
"36.66.173.145","elite","AS7713","ID","PT. Telekomunikasi Indonesia","196","N/A","45685","socks4","4902","1","2023-09-12T11:24:28.779Z","97","3718","3820"
"183.89.114.190","elite","AS45629","TH","Triple T Broadband Public Company Limited","195","Triple T Broadband Public Company Limited","4145","socks4","4808","1","2023-09-12T11:24:28.841Z","98","3732","3817"
"47.111.179.60","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","188","Aliyun Computing Co., LTD","8877","socks4","3792","2","2023-09-12T11:24:28.778Z","83","3070","3700"
"177.38.5.59","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","248","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4898","1","2023-09-12T11:24:28.841Z","95","3572","3774"
"103.78.210.178","elite","AS131111","ID","MORATELINDO","174","Moratelindo","30000","socks4","4899","1","2023-09-12T11:24:28.778Z","98","3809","3876"
"43.157.42.203","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","12","Tencent Cloud Computing","443","socks4","4989","1","2023-09-12T11:24:28.839Z","30","1146","3788"
"167.206.253.141","elite","AS6128","US","Cablevision Systems Corp.","82","Hopatcong Schools","8080","socks5","5018","1","2023-09-12T11:24:28.775Z","100","3821","3824"
"213.6.131.62","elite","AS12975","PS","DSL -PALTEL","60","N/A","5678","socks4","5100","1","2023-09-12T11:24:28.838Z","95","3640","3841"
"95.68.225.138","elite","AS12389","RU","Ulyanovsk Branch of OJSC VolgaTelecom","65","N/A","1080","socks5","5104","1","2023-09-12T11:24:27.942Z","51","1971","3851"
"103.60.138.65","elite","AS134016","IN","Velocity Internet India Private Ltd","188","Velocity Internet India Private Ltd","4153","socks4","2310","1","2023-09-12T11:24:27.944Z","99","3870","3898"
"117.86.111.68","elite","AS4134","CN","Chinanet","292","Chinanet JS","1080","socks5","1592","1","2023-09-12T11:24:27.940Z","50","1908","3827"
"51.195.209.238","elite","AS16276","GB","OVH SAS","9","Canya Eric","1080","socks5","4812","1","2023-09-12T11:24:27.943Z","89","3461","3872"
"119.148.37.198","elite","AS23923","BD","Agni Systems Limited","196","Agni Systems Ltd.","1088","socks4","4808","1","2023-09-12T11:24:26.537Z","98","3689","3761"
"103.242.104.243","elite","AS58821","ID","PT Lintas Jaringan Nusantara","188","PT Lintas Jaringan Nusantara","5678","socks4","2904","1","2023-09-12T11:24:26.535Z","99","3806","3853"
"216.107.129.135","elite","AS61317","US","Colocation America Corporation","97","Ipxo LLC","10180","socks5","4906","1","2023-09-12T11:24:25.442Z","100","3818","3818"
"186.190.168.62","elite","AS27953","AR","Nodosud S.A","288","Nodosud S.A","4145","socks4","4912","1","2023-09-12T11:24:25.444Z","99","3786","3818"
"104.27.26.29","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5002","1","2023-09-12T11:24:25.438Z","100","3845","3845"
"81.12.124.113","elite","AS42337","IR","Respina Networks & Beyond PJSC","190","Respina Networks","5678","socks4","4893","1","2023-09-12T11:24:25.441Z","93","3559","3847"
"194.44.193.135","elite","AS3255","UA","State Enterprise Scientific and Telecommunication Centre \"Ukrainian Academic and Research Network\" of the Institute Condensed Matter Physics of the National Academy of Science of Ukraine (UARNet)","82","UARNET-LL","5678","socks4","4794","82","2023-09-12T11:24:25.440Z","98","3760","3830"
"117.54.201.91","elite","AS9340","ID","PT IndoInternet","171","N/A","9340","socks5","5008","1","2023-09-12T11:24:23.842Z","76","2932","3846"
"95.179.155.218","elite","AS20473","NL","The Constant Company, LLC","85","Vultr Holdings LLC Amsterdam","8080","socks4","4614","1","2023-09-12T11:24:23.640Z","100","3777","3778"
"45.126.169.233","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","200","NET 4 U Services PVT LTD","4145","socks4","5098","1","2023-09-12T11:24:23.641Z","99","3828","3859"
"31.44.82.182","elite","AS29226","RU","JSC Mastertel","48","Mastertel","5678","socks4","4703","1","2023-09-12T11:24:23.639Z","100","3837","3844"
"176.98.156.54","elite","AS57396","RU","PE Aliev Magomed Kadievich","76","IzberbashRoute","4145","socks4","4997","1","2023-09-12T11:24:23.637Z","99","3821","3856"
"129.205.118.226","elite","AS37148","NG","Globacom Limited","190","Enterpise PHC","9812","socks4","4894","1","2023-09-12T11:24:23.638Z","29","1063","3728"
"172.67.209.12","elite","AS13335","CA","Cloudflare, Inc.","78","Cloudflare, Inc.","80","socks5","4902","1","2023-09-12T11:24:22.454Z","100","3765","3765"
"159.75.49.140","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","206","Tencent Cloud Computing (Beijing) Co., Ltd","10808","socks4","4696","1","2023-09-12T11:24:22.438Z","82","3079","3759"
"178.49.234.94","elite","AS31200","RU","Novotelecom Ltd.","97","Novotelecom ltd.","5678","socks4","4685","1","2023-09-12T11:24:22.535Z","99","3790","3826"
"185.173.106.113","elite","AS59441","IR","Hostiran Network","95","N/A","8080","socks5","4912","1","2023-09-12T11:24:22.436Z","90","3335","3722"
"51.210.240.92","elite","AS16276","FR","OVH SAS","5","OVH","19144","socks5","4084","1","2023-09-12T11:24:22.543Z","100","3822","3830"
"176.115.14.32","elite","AS58350","PL","PHU Classcom Sp. z o.o.","82","PHU Classcom Sp. z o.o","5678","socks4","4595","1","2023-09-12T11:24:22.542Z","100","3871","3887"
"212.200.161.241","elite","AS8400","RS","TELEKOM SRBIJA a.d.","88","Admira DOO Kragujevac","5678","socks5","4910","1","2023-09-12T11:24:22.540Z","100","3769","3783"
"188.92.242.106","elite","AS25227","RU","JSC Avantel","97","Avantel, Close Joint Stock Company","8088","socks5","4893","1","2023-09-12T11:24:20.645Z","99","3792","3837"
"45.7.210.203","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","271","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","5099","1","2023-09-12T11:24:20.443Z","99","3766","3796"
"47.90.200.204","elite","AS45102","US","Alibaba.com LLC","79","ALICLOUD-US","19527","socks5","3406","1","2023-09-12T11:24:20.442Z","93","3538","3812"
"23.94.73.246","elite","AS36352","US","ColoCrossing","194","RackNerd LLC","1080","socks4","4805","1","2023-09-12T11:24:20.646Z","86","3282","3818"
"116.62.240.85","elite","AS37963","CN","CNC Group CHINA169 Fujian Province Network","184","Beijing Kuancom Network Technology Co., Ltd.","7890","socks5","5102","1","2023-09-12T11:24:20.444Z","73","2767","3770"
"1.179.194.137","elite","AS131293","TH","TOT Public Company Limited","195","TOT Public Company Limited","4153","socks4","4206","1","2023-09-12T11:24:20.647Z","100","3797","3811"
"104.20.179.187","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4802","1","2023-09-12T11:24:19.237Z","100","3793","3793"
"118.173.197.241","elite","AS23969","TH","TOT Public Company Limited","194","TOT Public Company Limited","4145","socks4","2811","1","2023-09-12T11:24:19.238Z","99","3823","3850"
"45.60.186.208","elite","AS19551","US","Incapsula Inc","15","Incapsula Inc","27488","socks5","4903","1","2023-09-12T11:24:19.235Z","100","3687","3687"
"93.171.224.55","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","91","PE TV and Radio Company Kentavr-TV","4153","socks4","2686","1","2023-09-12T11:24:18.945Z","99","3903","3928"
"103.47.93.25","elite","AS134058","IN","Broban Internet Services Pvt.ltd","186","Broban  PVT Ltd.","1080","socks4","4905","1","2023-09-12T11:24:18.945Z","99","3794","3826"
"101.51.241.126","elite","AS23969","TH","TOT Public Company Limited","154","TOT Public Company Limited","4153","socks4","4897","1","2023-09-12T11:24:18.943Z","46","1725","3744"
"146.56.150.146","elite","AS31898","KR","Oracle Corporation","217","Oracle Cloud Infrastructure (ap-seoul-1)","32241","socks5","4797","1","2023-09-12T11:24:18.942Z","96","3713","3864"
"78.38.108.199","elite","AS58224","IR","Iran Telecommunication Company PJS","197","Abol Medical University","1080","socks5","4696","1","2023-09-12T11:24:17.050Z","79","3035","3834"
"46.227.36.1","elite","AS51155","PL","Telemedian - TB Telecom","44","Telemedian","1088","socks4","4794","1","2023-09-12T11:24:17.247Z","100","3718","3727"
"62.171.137.122","elite","AS51167","DE","Contabo GmbH","98","Contabo GmbH","61568","socks5","4884","1","2023-09-12T11:24:17.249Z","100","3788","3792"
"185.169.181.22","elite","AS34984","TR","Ates Dc","57","Ibrahim MALA trading as Ates Dc","4145","socks4","4714","1","2023-09-12T11:24:17.239Z","100","3783","3785"
"103.221.228.50","elite","AS63747","VN","BUUDIENCP16","224","N/A","5678","socks4","4301","1","2023-09-12T11:24:15.539Z","99","3739","3770"
"41.223.232.34","elite","AS37008","BF","Alink Telecom Faso v","190","N/A","4145","socks4","4996","84","2023-09-12T11:24:15.733Z","99","3758","3784"
"78.38.16.172","elite","AS58224","IR","orume university","196","Orume University","5678","socks4","4497","1","2023-09-12T11:24:15.538Z","89","3392","3800"
"41.90.242.102","elite","AS33771","KE","Safaricom Limited","211","Safaricom Limited","5678","socks5","4997","82","2023-09-12T11:24:15.735Z","98","3735","3798"
"207.188.134.194","elite","AS15704","ES","Xtra Telecom S.A","32","Xtra Telecom S.A","8118","socks4","4408","1","2023-09-12T11:24:15.740Z","99","3754","3774"
"74.208.65.165","elite","AS8560","US","IONOS SE","109","IONOS Inc","14548","socks4","5093","1","2023-09-12T11:24:14.040Z","99","3751","3794"
"202.79.34.96","elite","AS17501","NP","WorldLink Communications","154","N/A","5678","socks4","5194","2","2023-09-12T11:24:14.039Z","99","3761","3814"
"176.31.182.185","elite","AS16276","FR","OVH ISP","86","OVH","9050","socks5","4993","3","2023-09-12T11:24:13.587Z","85","3300","3898"
"123.145.4.15","elite","AS4837","CN","CNC Group CHINA169 Chongqing Province Network","283","N/A","53309","socks5","4988","1","2023-09-12T11:24:14.033Z","54","2082","3866"
"103.47.93.247","elite","AS134058","IN","Broban Internet Services Pvt.ltd","155","Broban  PVT Ltd.","1080","socks4","4698","1","2023-09-12T11:24:13.493Z","99","3806","3833"
"24.147.144.221","elite","AS7015","US","Comcast Cable Communications","102","Comcast Cable Communications Holdings, Inc","15280","socks5","4984","1","2023-09-12T11:24:13.845Z","100","3729","3732"
"71.167.151.15","elite","AS701","US","Verizon Business","89","Verizon Business","8080","socks5","1286","82","2023-09-12T11:24:13.848Z","100","3630","3634"
"45.70.237.130","elite","AS264668","EC","Nedetel S.A.","198","Nedetel S.A","4145","socks4","4808","1","2023-09-12T11:24:13.846Z","100","3801","3819"
"186.236.8.19","elite","AS28146","BR","Mhnet Telecom","288","Mhnet Telecom","4145","socks4","4710","1","2023-09-12T11:24:13.493Z","94","3546","3757"
"202.159.60.113","elite","AS9340","ID","PT IndoInternet","190","N/A","443","socks4","5098","1","2023-09-12T11:24:13.950Z","99","3756","3782"
"105.213.115.76","elite","AS16637","ZA","MTN SA","200","MTN SA","5678","socks4","3700","1","2023-09-12T11:24:13.847Z","39","1451","3709"
"202.124.43.253","elite","AS9902","KH","NeocomISP Limited","193","NeocomISP Limited","4145","socks4","4099","1","2023-09-12T11:24:13.844Z","100","3711","3722"
"177.131.29.211","elite","AS262378","BR","Compuservice Empreendimentos Ltda","297","Compuservice Empreendimentos Ltda","4153","socks4","3100","96","2023-09-12T11:24:12.341Z","99","3725","3777"
"202.52.237.117","elite","AS4613","NP","Mercantile Office Systems","184","Mercantile Communications Pvt Ltd","8080","socks4","4902","1","2023-09-12T11:24:12.535Z","99","3719","3753"
